decade,total_movies,total_profit,average_profit_per_movie,average_budget
before_1920s,18,5032471261,279581736.7222222,1076476.2222222222
1920s,56,91376991,1631731.982142857,527259.6785714285
1930s,119,773774459,6502306.37815126,794363.9579831932
1940s,154,1091205984,7085753.142857143,2130416.0844155843
1950s,213,1794605074,8425375.9342723,1768128.6431924882
1960s,271,3529011275,13022181.826568266,3596892.915129151
1970s,364,11255313151,30921189.975274727,6102652.307692308
1980s,953,24559342107,25770558.349422876,10777193.221406085
1990s,1523,53313734721,35005735.20748523,23496371.00525279
2000s,2905,117833046927,40562150.40516351,26597059.719449226
2010s,4137,201780928707,48774698.744742565,22333030.276770607
current_decade,3174,68167790036,21476934.47889099,10013680.435727788
