decade,total_movies,total_profit,average_profit_per_movie,average_budget,dollar_value,adjusted_budget,adjusted_average_profit,adjusted_total_profit
us_before_1920s,15,37471762,2498117.466666667,291738.06666666665,0.06,4862301.111111111,41635291.11111112,624529366.6666667
us_1920s,48,83147525,1732240.1041666667,546968.6041666666,0.07,7813837.2023809515,24746287.20238095,1187821785.7142856
us_1930s,114,772051601,6772382.46491228,816861.5964912281,0.08,10210769.95614035,84654780.81140351,9650645012.5
us_1940s,146,1089136157,7459836.691780822,2209484.6369863013,0.12,18412371.974885844,62165305.76484019,9076134641.666668
us_1950s,166,1577087953,9500529.837349398,2166854.5843373495,0.2,10834272.921686748,47502649.18674699,7885439765.0
us_1960s,168,2711060826,16137266.82142857,5089099.666666667,0.3,16963665.555555556,53790889.4047619,9036869420.0
us_1970s,269,10170564194,37808788.82527881,5614169.085501859,0.5,11228338.171003718,75617577.65055762,20341128388.0
us_1980s,738,22724015465,30791348.86856369,12588891.604336044,0.8,15736114.505420055,38489186.08570461,28405019331.25
us_1990s,1220,51102892265,41887616.61065574,28061633.17377049,0.77,36443679.44645518,54399502.0917607,66367392551.94805
us_2000s,1900,105843517884,55707114.675789475,36484762.53315789,0.55,66335931.87846889,101285663.04688995,192442759789.0909
us_2010s,2058,181599777076,88240902.36929058,39332862.85860059,0.42,93649673.47285853,210097386.59354898,432380421609.5238
us_current_decade,682,33493919867,49111319.45307918,31476024.008797653,1.0,31476024.008797653,49111319.45307918,33493919867.0
