decade,rank,genre,movie_count,average_budget,average_revenue,average_profit_per_movie,total_profit
us_1920s,1,Drama,2511,12566.726005575469,38092.57745917961,25525.85145360414,64095413
us_1920s,2,Romance,823,33470.1907654921,80118.18104495747,46647.99027946537,38391296
us_1920s,3,War,61,75180.32786885246,461934.4262295082,386754.0983606557,23592000
us_1920s,4,Music,134,41626.76119402985,196485.07462686568,154858.31343283583,20751014
us_1920s,5,Adventure,380,35265.04210526316,60738.33947368421,25473.297368421052,9679853
us_1930s,1,Drama,2217,47238.27108705458,258313.02119981957,211074.750112765,467952721
us_1930s,2,Romance,1322,61846.25794251134,396427.70121028746,334581.4432677761,442316668
us_1930s,3,War,118,140783.33050847458,3638581.1779661016,3497797.8474576273,412740146
us_1930s,4,Fantasy,78,132044.53846153847,2992057.0897435895,2860012.5512820515,223080979
us_1930s,5,Family,261,31848.344827586207,857641.5823754789,825793.2375478927,215532035
us_1940s,1,Drama,1562,99079.81113956466,441057.2516005122,341977.4404609475,534168762
us_1940s,2,Family,307,70002.95114006515,1725339.0651465799,1655336.1140065147,508188187
us_1940s,3,Animation,1421,8156.913441238565,349576.5482054891,341419.63476425054,485157301
us_1940s,4,War,494,67404.21457489878,687706.2449392712,620302.0303643724,306429203
us_1940s,5,Thriller,351,410891.50997151,1281124.1424501424,870232.6324786325,305451654
us_1950s,1,Romance,577,369211.0641247834,1601121.006932409,1231909.9428076257,710812037
us_1950s,2,Drama,1482,195843.3947368421,667596.6727395412,471753.2780026991,699138358
us_1950s,3,Family,331,212096.67673716013,1974117.099697885,1762020.4229607251,583228760
us_1950s,4,Fantasy,96,291323.0729166667,5535979.854166667,5244656.78125,503487051
us_1950s,5,Animation,1178,17444.839558573854,421184.29796264856,403739.4584040747,475605082
us_1960s,1,Drama,1237,451720.2667744543,1552407.4818108326,1100687.2150363782,1361550085
us_1960s,2,Romance,312,1157192.6666666667,4386797.378205128,3229604.7115384615,1007636670
us_1960s,3,Comedy,937,352639.6104589114,1357927.2241195305,1005287.613660619,941954494
us_1960s,4,Family,307,250159.31596091206,2886100.8078175895,2635941.4918566775,809234038
us_1960s,5,Adventure,279,883349.8207885305,3595986.053763441,2712636.23297491,756825509
us_1970s,1,Drama,2293,390507.65242040996,2399745.0082860882,2009237.355865678,4607181257
us_1970s,2,Comedy,1383,358260.4468546638,2947747.0903832247,2589486.643528561,3581260028
us_1970s,3,Adventure,389,1331352.1850899742,8860852.766066838,7529500.580976863,2928975726
us_1970s,4,Action,621,702378.9162640902,5382259.866344606,4679880.950080515,2906206070
us_1970s,5,Thriller,594,763092.1902356902,4840902.814814814,4077810.6245791246,2422219511
us_1980s,1,Comedy,2013,2058390.872329856,7900744.706905116,5842353.834575261,11760658269
us_1980s,2,Action,990,2949711.3333333335,11066469.686868686,8116758.353535353,8035590770
us_1980s,3,Drama,2421,1506274.0346964065,4752617.449814127,3246343.41511772,7859397408
us_1980s,4,Adventure,483,5146225.109730849,20070419.482401658,14924194.372670807,7208385882
us_1980s,5,Romance,605,2937961.6314049587,10992803.69586777,8054842.06446281,4873179449
us_1990s,1,Drama,3822,4122058.3974358975,9917940.997645212,5795882.600209314,22151863298
us_1990s,2,Comedy,2767,4680883.779906035,11764853.241055295,7083969.4611492595,19601343499
us_1990s,3,Action,1811,7165875.590833793,16365329.225842075,9199453.635008283,16660210533
us_1990s,4,Adventure,715,12683371.311888112,34678356.5972028,21994985.285314687,15726414479
us_1990s,5,Thriller,1924,5952498.091476091,13416721.32068607,7464223.229209979,14361165493
us_2000s,1,Adventure,987,25310994.009118542,70537077.94630192,45226083.93718339,44638144846
us_2000s,2,Action,2161,13039836.971772328,31299594.438685793,18259757.466913465,39459335886
us_2000s,3,Comedy,4561,5869605.783380837,14290779.85200614,8421174.068625301,38408974927
us_2000s,4,Fantasy,819,16585530.860805862,50106697.88156288,33521167.02075702,27453835790
us_2000s,5,Drama,5137,4961638.575238466,10136354.045941211,5174715.470702745,26582513373
us_2010s,1,Adventure,1651,24708685.417322833,85080052.95639007,60371367.53906723,99673127807
us_2010s,2,Action,3249,13402744.360726377,39828953.28470299,26426208.923976608,85858752794
us_2010s,3,Comedy,8038,3143424.9201293853,10025426.429708883,6882001.509579497,55317528134
us_2010s,4,Science Fiction,2244,9324911.812834224,31378075.95098039,22053164.138146166,49487300326
us_2010s,5,Family,1985,8858605.570780857,31153055.34206549,22294449.771284636,44254482796
us_before_1920s,1,Drama,3677,858.5518085395703,12469.889311939081,11611.33750339951,42694888
us_before_1920s,2,Comedy,2453,150.33102323685284,5258.866693844272,5108.53567060742,12531238
us_before_1920s,3,History,90,7020.3,141666.66666666666,134646.36666666667,12118173
us_before_1920s,4,War,166,602.4096385542168,66265.06024096385,65662.65060240965,10900000
us_before_1920s,5,Science Fiction,18,11111.111111111111,444444.44444444444,433333.3333333333,7800000
us_current_decade,1,Action,2282,7575709.503067485,14022282.120508326,6446572.617440841,14711078713
us_current_decade,2,Adventure,945,14126706.851851853,29308120.777777776,15181413.925925925,14346436160
us_current_decade,3,Comedy,5788,1396773.5079474775,2761612.192121631,1364838.6841741535,7899686304
us_current_decade,4,Family,987,4918537.261398177,12897686.350557243,7979149.089159068,7875420151
us_current_decade,5,Fantasy,1142,5846298.3108581435,12172797.345884413,6326499.03502627,7224861898
